timestamp,device_id,firmware_version,temperature,humidity,voltage,current_draw,signal_strength,error_code,status
2026-07-21 07:40:08,DEV-018,v1.1.0,73.42,72.4,3.81,1.65,-70,E202,ERROR
2026-07-21 07:40:09,DEV-002,v2.0.1,64.98,47.97,4.31,1.97,-48,E202,ERROR
2026-07-21 07:40:10,DEV-013,v2.0.1,52.82,34.17,3.53,0.14,-72,E404,OK
2026-07-21 07:40:11,DEV-013,v1.0.2,41.02,43.54,4.17,1.4,-54,E404,OK
2026-07-21 07:40:12,DEV-001,v2.0.1,88.52,38.4,3.55,0.28,-92,E00,OK
2026-07-21 07:40:13,DEV-004,v2.0.1,17.16,70.55,4.38,0.97,-97,E202,WARN
2026-07-21 07:40:14,DEV-010,v1.0.2,25.36,55.6,3.2,2.45,-91,E00,ERROR
2026-07-21 07:40:15,DEV-015,v1.0.2,45.44,42.52,3.49,0.18,-32,E00,ERROR
2026-07-21 07:40:16,DEV-002,v2.0.1,90.05,35.15,4.21,0.34,-31,E101,CRITICAL
2026-07-21 07:40:17,DEV-014,v2.0.1,81.26,83.31,3.48,0.13,-85,E00,CRITICAL
2026-07-21 07:40:18,DEV-001,v1.1.0,19.99,35.16,4.92,0.68,-39,E404,CRITICAL
2026-07-21 07:40:19,DEV-007,v1.0.2,57.85,59.93,4.01,0.67,-39,E202,WARN
2026-07-21 07:40:20,DEV-019,v2.0.1,92.16,47.84,3.57,2.41,-31,E00,OK
2026-07-21 07:40:21,DEV-010,v2.0.1,16.92,70.99,4.48,0.98,-73,E00,WARN
2026-07-21 07:40:22,DEV-003,v1.0.2,58.25,45.64,3.42,0.14,-58,E101,WARN
2026-07-21 07:40:23,DEV-004,v2.0.1,89.96,70.23,3.21,1.67,-60,E404,ERROR
2026-07-21 07:40:24,DEV-004,v1.0.2,52.83,47.48,4.47,1.73,-80,E00,OK
2026-07-21 07:40:25,DEV-015,v1.0.2,29.15,82.75,3.76,1.44,-53,E00,OK
2026-07-21 07:40:26,DEV-019,v1.1.0,69.46,41.34,4.93,1.25,-68,E101,OK
2026-07-21 07:40:27,DEV-010,v1.0.2,77.52,84.63,4.97,0.6,-39,E00,OK
2026-07-21 07:40:28,DEV-017,v1.1.0,27.91,57.06,3.23,2.38,-63,E202,CRITICAL
2026-07-21 07:40:29,DEV-018,v2.0.1,94.37,64.01,4.67,1.78,-87,E202,OK
2026-07-21 07:40:30,DEV-003,v1.1.0,58.98,71.6,4.2,1.09,-34,E500,OK
2026-07-21 07:40:31,DEV-019,v1.0.2,48.0,32.54,4.81,2.11,-48,E404,WARN
2026-07-21 07:40:32,DEV-003,v2.0.1,30.43,32.55,4.76,0.86,-70,E404,ERROR
2026-07-21 07:40:33,DEV-016,v1.0.2,69.1,76.76,3.47,0.71,-65,E101,OK
2026-07-21 07:40:34,DEV-015,v1.1.0,78.82,58.12,4.0,0.12,-63,E404,WARN
2026-07-21 07:40:35,DEV-019,v1.0.2,57.11,61.59,4.14,0.89,-46,E202,OK
2026-07-21 07:40:36,DEV-003,v2.0.1,94.56,87.8,4.93,1.93,-63,E500,WARN
2026-07-21 07:40:37,DEV-014,v1.1.0,72.45,31.56,3.11,0.83,-38,E202,OK
2026-07-21 07:40:38,DEV-013,v1.1.0,18.26,33.71,3.16,1.08,-62,E101,ERROR
2026-07-21 07:40:39,DEV-019,v1.0.2,31.74,34.89,3.17,0.8,-71,E101,OK
2026-07-21 07:40:40,DEV-013,v1.0.2,58.22,68.05,3.57,2.49,-32,E202,OK
2026-07-21 07:40:41,DEV-017,v2.0.1,46.83,34.64,4.32,2.4,-62,E101,OK
2026-07-21 07:40:42,DEV-007,v1.1.0,37.01,42.54,3.13,0.87,-57,E500,CRITICAL
2026-07-21 07:40:43,DEV-015,v1.1.0,45.71,84.36,4.78,2.14,-53,E101,CRITICAL
2026-07-21 07:40:44,DEV-007,v2.0.1,88.58,58.71,3.44,0.78,-73,E500,OK
2026-07-21 07:40:45,DEV-015,v1.0.2,20.46,31.51,3.73,2.33,-86,E404,ERROR
2026-07-21 07:40:46,DEV-018,v1.0.2,53.14,66.52,3.91,2.1,-62,E00,OK
2026-07-21 07:40:47,DEV-004,v1.1.0,84.64,60.55,3.81,0.82,-40,E101,CRITICAL
2026-07-21 07:40:48,DEV-005,v2.0.1,57.69,68.0,4.89,0.41,-41,E202,ERROR
2026-07-21 07:40:49,DEV-015,v2.0.1,26.37,49.62,4.94,0.98,-77,E101,OK
2026-07-21 07:40:50,DEV-014,v2.0.1,45.69,77.21,3.25,0.37,-66,E00,WARN
2026-07-21 07:40:51,DEV-012,v1.0.2,58.51,40.94,4.26,0.75,-79,E101,OK
2026-07-21 07:40:52,DEV-017,v1.1.0,77.48,37.1,3.96,0.32,-50,E101,OK
2026-07-21 07:40:53,DEV-018,v1.1.0,49.55,77.54,3.74,1.91,-39,E500,WARN
2026-07-21 07:40:54,DEV-002,v2.0.1,28.83,73.94,4.87,0.38,-51,E101,CRITICAL
2026-07-21 07:40:55,DEV-011,v2.0.1,32.84,31.53,4.81,2.2,-34,E202,WARN
2026-07-21 07:40:56,DEV-001,v1.1.0,73.2,58.6,3.42,0.31,-84,E00,WARN
2026-07-21 07:40:57,DEV-020,v2.0.1,91.74,57.17,4.11,0.23,-90,E202,ERROR
