timestamp,device_id,firmware_version,temperature,humidity,voltage,current_draw,signal_strength,error_code,status
2026-07-21 07:40:08,DEV-011,v1.1.0,63.18,52.32,3.91,2.04,-91,E101,OK
2026-07-21 07:40:09,DEV-003,v2.0.1,78.75,55.09,3.78,2.33,-65,E500,OK
2026-07-21 07:40:10,DEV-005,v1.1.0,83.9,52.58,4.72,1.13,-99,E00,ERROR
2026-07-21 07:40:11,DEV-016,v1.1.0,23.39,32.71,4.22,1.62,-93,E00,CRITICAL
2026-07-21 07:40:12,DEV-013,v1.1.0,71.38,39.1,3.33,1.34,-54,E101,CRITICAL
2026-07-21 07:40:13,DEV-007,v2.0.1,39.26,56.99,3.26,2.1,-88,E500,CRITICAL
2026-07-21 07:40:14,DEV-017,v1.0.2,66.49,57.2,3.41,2.01,-85,E202,CRITICAL
2026-07-21 07:40:15,DEV-017,v1.0.2,38.6,41.08,3.32,1.9,-32,E101,WARN
2026-07-21 07:40:16,DEV-017,v1.0.2,33.97,83.08,4.94,1.0,-97,E202,OK
2026-07-21 07:40:17,DEV-014,v1.1.0,27.26,64.84,3.85,1.73,-72,E404,WARN
2026-07-21 07:40:18,DEV-012,v1.1.0,61.9,46.8,4.37,2.32,-96,E101,OK
2026-07-21 07:40:19,DEV-005,v1.1.0,50.52,45.06,3.64,1.93,-59,E00,OK
2026-07-21 07:40:20,DEV-007,v1.1.0,22.57,42.83,4.64,0.98,-43,E101,OK
2026-07-21 07:40:21,DEV-020,v1.0.2,43.18,71.86,4.61,2.18,-97,E500,CRITICAL
2026-07-21 07:40:22,DEV-008,v1.1.0,63.95,57.35,3.52,0.14,-82,E101,ERROR
2026-07-21 07:40:23,DEV-005,v1.0.2,85.12,52.85,3.94,0.67,-49,E202,OK
2026-07-21 07:40:24,DEV-010,v1.0.2,59.85,88.69,3.43,0.73,-78,E00,ERROR
2026-07-21 07:40:25,DEV-010,v2.0.1,61.06,57.21,3.67,0.56,-42,E500,WARN
2026-07-21 07:40:26,DEV-018,v1.1.0,32.15,80.95,4.15,0.44,-75,E202,ERROR
2026-07-21 07:40:27,DEV-016,v1.0.2,93.89,56.93,4.91,0.3,-31,E202,ERROR
2026-07-21 07:40:28,DEV-007,v2.0.1,86.8,42.32,4.98,0.88,-91,E500,ERROR
2026-07-21 07:40:29,DEV-003,v1.0.2,44.06,52.07,4.2,1.78,-38,E202,OK
2026-07-21 07:40:30,DEV-001,v1.0.2,50.58,57.09,4.46,1.49,-48,E202,CRITICAL
2026-07-21 07:40:31,DEV-013,v1.1.0,22.6,83.22,4.92,1.91,-30,E00,ERROR
2026-07-21 07:40:32,DEV-014,v1.0.2,72.97,60.86,4.97,1.52,-81,E202,WARN
